Datetime,CH4 (%),CO2 (%),Temperature (°C),pH,N (%),P (%),K (%),Pressure (atm)
2024-11-01 00:00:00,61.65,39.38,36.06,7.37,1.3,0.34,0.96,1.19
2024-11-01 08:00:00,61.27,37.03,39.0,7.43,0.8,0.41,0.74,1.12
2024-11-01 15:00:00,59.05,26.6,39.52,7.05,1.04,0.29,0.94,1.1
2024-11-01 21:00:00,65.6,27.09,37.83,7.26,0.63,0.36,0.74,1.01
2024-11-02 03:00:00,55.14,30.15,38.67,6.97,1.32,0.32,0.59,1.04
2024-11-02 09:00:00,57.41,28.71,39.9,7.32,1.41,0.48,0.51,1.1
2024-11-02 16:00:00,61.9,26.71,38.84,6.9,1.17,0.52,0.52,1.01
2024-11-02 22:00:00,55.09,34.96,37.97,6.93,1.32,0.27,0.56,1.18
2024-11-03 04:00:00,55.48,38.85,39.48,7.42,1.19,0.53,0.6,1.12
2024-11-03 09:00:00,57.4,35.84,35.76,7.15,1.45,0.55,0.81,1.05
2024-11-03 15:00:00,69.11,38.91,39.25,6.97,1.4,0.47,0.73,1.1
2024-11-03 21:00:00,64.68,23.03,35.71,7.29,0.7,0.3,0.92,1.18
2024-11-04 02:00:00,56.95,33.9,39.58,7.05,1.49,0.23,0.89,1.08
2024-11-04 10:00:00,54.13,28.54,35.06,7.11,0.78,0.26,0.71,1.03
2024-11-04 16:00:00,54.83,37.64,38.63,7.01,1.24,0.26,0.87,1.04
2024-11-04 21:00:00,56.77,23.2,37.26,6.84,0.57,0.56,0.57,1.07
2024-11-05 05:00:00,53.12,27.69,38.84,7.36,0.71,0.57,1.0,1.05
2024-11-05 13:00:00,54.24,20.21,36.02,6.89,1.43,0.33,0.66,1.0
2024-11-05 21:00:00,59.67,33.1,35.6,7.11,0.85,0.41,0.54,1.17
2024-11-06 05:00:00,50.85,31.9,35.74,7.27,1.34,0.4,0.81,1.16
2024-11-06 12:00:00,68.62,24.6,36.08,7.13,1.22,0.53,0.75,1.06
2024-11-06 20:00:00,62.26,36.65,38.29,7.49,0.65,0.43,0.71,1.05
2024-11-07 01:00:00,69.15,29.58,39.25,7.18,0.97,0.25,0.82,1.01
2024-11-07 07:00:00,60.7,22.44,35.95,7.04,0.94,0.21,0.94,1.07
2024-11-07 15:00:00,51.68,37.33,39.11,7.03,0.67,0.44,0.77,1.04
2024-11-07 20:00:00,65.11,38.15,36.23,7.11,1.14,0.37,0.62,1.12
2024-11-08 04:00:00,55.36,20.58,39.22,6.96,0.75,0.22,0.77,1.08
2024-11-08 11:00:00,66.18,22.12,39.68,6.98,1.17,0.28,0.76,1.09
2024-11-08 18:00:00,50.3,28.05,35.2,6.97,1.3,0.42,0.67,1.03
2024-11-09 00:00:00,63.48,23.39,35.18,6.84,1.09,0.44,0.96,1.06
2024-11-09 08:00:00,64.36,34.14,36.96,7.27,1.03,0.28,0.6,1.04
2024-11-09 15:00:00,59.68,38.45,36.77,7.21,1.25,0.42,0.86,1.03
2024-11-09 23:00:00,56.08,25.99,36.32,7.09,1.39,0.49,0.78,1.02
2024-11-10 05:00:00,60.11,30.67,37.37,7.16,0.69,0.46,0.82,1.01
2024-11-10 10:00:00,58.68,38.51,38.5,7.37,1.05,0.22,0.86,1.14
2024-11-10 15:00:00,51.33,38.33,38.71,7.32,0.96,0.57,0.78,1.02
2024-11-10 20:00:00,56.97,36.68,36.01,7.37,0.93,0.51,0.89,1.1
2024-11-11 01:00:00,63.07,20.72,37.42,6.9,1.4,0.22,0.5,1.12
2024-11-11 08:00:00,60.7,37.88,36.4,6.9,1.23,0.29,0.66,1.14
2024-11-11 15:00:00,62.27,20.46,35.72,7.46,0.67,0.24,0.86,1.04
2024-11-11 22:00:00,51.76,38.69,37.92,7.41,0.94,0.53,0.79,1.18
2024-11-12 06:00:00,51.92,34.41,36.25,7.32,0.65,0.44,0.54,1.06
2024-11-12 13:00:00,57.64,22.51,36.7,7.23,0.72,0.22,0.73,1.07
2024-11-12 19:00:00,65.38,21.4,38.73,7.0,1.45,0.44,0.76,1.07
2024-11-13 02:00:00,62.99,23.22,37.67,7.08,1.08,0.28,0.51,1.16
2024-11-13 08:00:00,57.93,31.26,37.59,6.96,1.02,0.34,0.84,1.01
2024-11-13 15:00:00,67.5,26.19,38.47,7.03,0.78,0.32,0.65,1.12
2024-11-13 21:00:00,61.02,22.76,36.92,7.23,1.35,0.46,0.69,1.12
2024-11-14 04:00:00,65.06,36.16,35.01,7.23,0.86,0.6,0.91,1.06
2024-11-14 10:00:00,58.56,30.06,36.11,6.99,0.51,0.28,0.97,1.08
2024-11-14 15:00:00,57.07,20.67,39.52,6.86,1.38,0.3,0.8,1.13
2024-11-14 20:00:00,64.85,29.0,39.64,7.26,1.48,0.35,0.99,1.12
2024-11-15 04:00:00,59.35,21.7,37.09,7.34,1.25,0.44,0.79,1.01
2024-11-15 12:00:00,68.74,31.99,39.09,6.97,0.84,0.44,0.65,1.1
2024-11-15 17:00:00,59.37,34.91,38.56,7.35,1.31,0.45,0.58,1.01
2024-11-16 00:00:00,69.64,26.2,35.59,6.93,1.06,0.48,0.96,1.01
2024-11-16 06:00:00,61.18,23.14,39.38,6.94,0.89,0.39,0.62,1.13
2024-11-16 13:00:00,52.17,26.79,39.96,6.99,1.44,0.56,0.86,1.02
2024-11-16 21:00:00,55.1,38.83,39.95,7.17,0.54,0.57,0.75,1.12
2024-11-17 04:00:00,51.16,33.48,35.11,7.45,0.54,0.52,0.62,1.09
2024-11-17 09:00:00,63.94,22.38,37.73,7.0,0.97,0.27,0.58,1.17
2024-11-17 17:00:00,69.87,21.11,36.84,6.89,0.95,0.53,0.57,1.08
2024-11-18 00:00:00,53.52,21.9,35.05,7.14,0.65,0.29,0.74,1.06
2024-11-18 05:00:00,67.33,33.79,35.25,7.28,1.41,0.58,0.98,1.04
2024-11-18 10:00:00,67.15,39.23,39.08,7.26,1.37,0.47,0.62,1.12
