Date,Time,Temp (°C),pH,Moisture (%),N (mg/kg),P (mg/kg),K (mg/kg),COD (mg/L),CH4 (%),CO2 (%),Pressure (psi),Pathogen (CFU/ml),Flow (L/min),UV Intensity (mW/cm²),Opt Temp (°C),pH Adj,Process Time (hrs),Opt NPK,UV Time (min),Pathogen Status
2024-06-22,03:53:40,36.78,7.06,40.7,1441.08,91.15,159.97,11684.45,66.9,30.75,11.64,15.33,3.83,12.62,48.75,-0.37,17.38,Optimal,25.56,Absent
2023-03-13,22:11:36,40.76,7.07,62.13,1448.99,123.34,182.03,10240.83,62.0,33.12,27.08,31.52,1.51,15.51,37.47,-0.08,68.33,3:1:1,22.39,Present
2025-05-07,13:30:24,40.29,6.61,67.44,1167.01,192.5,179.52,14330.26,63.52,38.06,25.95,56.8,3.69,7.51,45.54,-0.48,55.5,4:1:1,6.22,Present
2024-10-30,14:20:36,40.49,6.79,48.5,1452.41,124.29,293.52,15566.06,54.84,39.25,29.3,28.1,2.89,9.09,42.23,0.39,31.2,4:1:1,28.49,Present
2024-04-14,13:52:12,44.5,7.03,78.77,1312.84,196.53,209.24,16975.7,62.53,33.62,12.47,47.08,1.83,15.29,35.65,0.27,64.39,3:1:1,12.85,Present
2024-06-28,12:40:47,37.05,7.03,52.89,803.97,121.86,231.61,13884.01,73.49,27.46,14.92,27.43,2.27,11.87,36.15,-0.0,31.37,2:1:2,20.46,Present
2023-11-07,05:48:50,40.89,6.88,77.59,1264.07,98.81,268.12,19625.21,56.86,30.35,10.05,86.87,3.93,8.49,36.74,0.23,25.7,3:1:1,28.54,Absent
2023-03-18,18:56:30,37.31,7.31,74.9,1496.62,124.87,173.37,13426.21,72.06,31.77,28.18,30.9,4.57,14.88,50.49,-0.25,13.36,3:1:1,20.38,Present
2025-03-24,07:29:13,35.44,6.52,68.04,1498.49,193.82,200.0,13865.25,72.42,31.84,12.0,89.13,2.54,9.22,42.23,0.26,20.36,4:1:1,19.37,Absent
2023-08-10,10:56:44,42.4,7.35,78.85,1342.42,191.21,189.8,12233.35,68.27,29.28,12.16,90.28,4.11,8.61,36.09,0.02,61.29,4:1:1,23.66,Present
2025-06-29,13:14:32,41.65,7.22,68.78,884.62,107.41,213.91,19015.59,55.8,32.39,13.45,89.55,1.34,16.4,48.46,0.39,33.47,4:1:1,29.36,Absent
2024-01-19,22:42:47,37.53,7.5,68.85,843.37,77.94,179.95,17077.57,70.17,39.19,12.53,35.19,3.02,17.73,40.87,-0.35,48.88,Optimal,26.46,Absent
2025-06-05,13:24:11,37.56,7.14,41.22,1312.43,109.35,167.0,19068.88,67.35,26.88,26.67,32.44,2.29,14.22,51.5,0.35,70.1,3:1:1,12.32,Absent
2025-06-05,18:37:13,39.35,7.06,67.88,1080.31,169.5,281.46,10108.09,65.42,32.7,21.57,68.61,4.01,5.35,49.49,0.43,40.02,3:1:1,29.96,Absent
2023-09-27,16:18:00,39.56,7.2,77.73,1195.25,172.88,156.02,10756.77,59.52,38.25,23.77,26.7,4.92,17.04,40.29,-0.4,13.83,3:1:1,21.56,Absent
2023-08-11,19:42:00,37.18,6.73,47.82,1060.02,187.25,151.88,17541.97,72.61,33.43,12.19,46.98,4.99,12.4,37.5,-0.42,54.68,Optimal,7.96,Absent
2025-02-01,10:28:56,42.95,7.44,66.41,1357.42,56.01,227.96,10776.31,55.3,39.53,29.82,71.19,3.89,5.18,43.2,0.0,15.47,2:1:2,22.49,Absent
2025-06-07,20:00:26,39.49,7.23,53.27,818.53,69.47,151.32,12574.38,74.51,35.01,14.91,21.66,3.59,19.36,41.34,0.12,22.28,Optimal,11.2,Present
2024-03-14,03:52:04,38.34,6.71,45.58,1445.98,118.5,273.07,12061.61,54.99,34.92,25.21,77.45,3.23,12.94,37.26,-0.32,52.37,4:1:1,29.44,Present
2024-02-07,14:30:04,36.2,6.72,74.22,1413.27,108.82,171.84,12469.24,69.51,38.4,27.67,32.07,4.97,10.87,37.08,0.22,24.89,2:1:2,21.79,Present
2023-10-09,09:05:09,43.78,6.58,46.94,1461.77,86.24,259.98,16082.2,69.41,25.52,29.02,43.18,4.48,10.72,40.83,-0.42,46.56,3:1:1,13.36,Absent
2024-12-11,17:19:04,38.62,6.55,62.44,1302.92,191.49,169.45,15338.25,63.3,37.93,22.73,84.91,3.27,12.76,43.88,0.39,53.78,2:1:2,14.56,Present
2024-11-28,16:45:05,40.31,6.57,78.13,1301.56,170.68,197.44,13122.11,70.58,26.03,26.17,71.93,4.04,8.55,35.63,0.07,50.0,3:1:1,25.56,Absent
2024-05-21,21:55:47,36.73,6.62,50.66,1396.75,86.38,210.54,16619.57,55.88,36.73,21.69,79.22,3.99,13.81,43.36,0.02,54.76,3:1:1,12.6,Present
2023-11-15,04:22:27,36.17,7.35,64.21,879.0,63.92,225.09,17054.87,62.98,33.47,12.03,89.42,4.53,11.8,44.05,-0.1,59.6,Optimal,15.9,Absent
2024-04-11,15:18:15,38.5,7.15,64.98,1254.33,84.6,261.08,16739.86,60.41,25.18,22.09,83.33,1.68,13.46,43.33,0.49,29.09,Optimal,29.55,Present
2023-03-19,21:49:42,40.59,6.57,63.74,1457.48,73.76,248.02,17563.8,63.24,25.32,28.58,76.97,3.41,13.56,52.1,-0.06,42.5,2:1:2,13.14,Present
2023-05-16,03:49:45,39.08,6.72,41.31,1277.35,63.6,165.22,15093.98,59.49,30.94,25.66,89.46,1.98,11.03,35.9,-0.17,41.25,2:1:2,8.31,Present
