CH4 (Methane) [%],CO2 (Carbon Dioxide) [%],Temperature °C),pH,N (%),P (%),K (%),Pressure (psi),CH4 Reading,CO2 Reading,Temperature Reading,pH Reading,NPK Reading,Pressure Reading,Biogas Quality,Timestamp
38.61,34.87,39.01,7.26,2.73,0.5,1.91,15.81,Moderate,Moderate,Accurate,Accurate,Accurate,Accurate,Low Quality,2024-11-01 00:00:00
53.22,53.56,35.72,6.74,3.42,0.37,1.87,22.93,Accurate,High,Accurate,Accurate,Accurate,Accurate,High,2024-11-01 07:00:00
40.63,39.85,50.87,6.56,2.99,0.43,1.85,19.37,Moderate,Moderate,Moderate,Accurate,Accurate,Accurate,Low Quality,2024-11-01 12:00:00
58.29,54.97,32.8,4.88,2.26,0.33,1.6,21.81,Accurate,High,Accurate,Low,Accurate,Accurate,High,2024-11-01 18:00:00
44.58,33.16,30.43,6.43,2.58,0.37,1.53,15.01,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-02 01:00:00
69.47,48.97,51.63,5.08,3.3,0.37,1.8,15.09,Accurate,High,Moderate,Low,Accurate,Accurate,High,2024-11-02 08:00:00
28.07,30.21,27.05,5.88,3.76,0.59,1.75,22.83,Moderate,Moderate,Moderate,Low,Accurate,Accurate,Low Quality,2024-11-02 13:00:00
55.53,31.14,31.8,5.38,2.52,0.57,1.6,25.8,Accurate,Moderate,Accurate,Low,Accurate,Accurate,High,2024-11-02 19:00:00
52.89,43.96,52.39,5.07,3.1,0.48,1.83,23.64,Accurate,High,Moderate,Low,Accurate,Accurate,High,2024-11-03 00:00:00
43.64,30.86,44.56,5.11,3.83,0.45,1.68,23.82,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-03 07:00:00
73.12,50.45,30.75,6.99,2.24,0.57,1.58,19.8,Accurate,High,Accurate,Accurate,Accurate,Accurate,Optimal,2024-11-03 13:00:00
58.49,32.55,43.58,4.07,2.55,0.5,1.57,24.5,Accurate,Moderate,Accurate,Low,Accurate,Accurate,High,2024-11-03 20:00:00
62.36,30.77,42.54,5.97,2.42,0.4,1.59,15.44,Accurate,Moderate,Accurate,Low,Accurate,Accurate,High,2024-11-04 02:00:00
61.06,34.09,26.61,6.94,2.48,0.35,1.96,15.23,Accurate,Moderate,Moderate,Accurate,Accurate,Accurate,High,2024-11-04 07:00:00
61.86,37.8,36.45,4.66,3.49,0.4,1.91,26.21,Accurate,Moderate,Accurate,Low,Accurate,Accurate,High,2024-11-04 14:00:00
39.25,55.02,48.15,6.2,2.09,0.49,1.91,18.88,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-04 22:00:00
